,Code,Name,City,Postal_Code,Country_Code,Longitude,Latitude,Gmt_Offset,World_Area_Code
,SUX,Sioux Gateway,Sioux City,51054,USA,-96.3833,42.4,6,67
,SUY,Sudureyri,Sudureyri,,ISL,-23.8333,66.0167,,439
,SUZ,Suria,Suria,,PNG,143.9167,-7.1667,-10,804
,SVA,Savoonga,Savoonga,99769,USA,-170.4667,62.7,9,67
,SVB,Sambava,Sambava,,MDG,50.175,-14.2769,-3,541
,SVC,Grant County,Silver City,88043,USA,-108.1667,32.6333,7,67
,SVD,E. T. Joshua,St Vincent,,VCT,-61.3667,13.25,4,279
,SVE,Susanville,Susanville,96130,USA,-120.65,40.4,8,67
,SVF,Save,Save,,BEN,2.4833,8.0333,-1,519
,SVG,Sola,Stavanger,,NOR,5.6378,58.8767,1,465
,SVH,Municipal,Statesville,28677,USA,-80.95,35.7667,5,67
,SVI,San Vicente,San Vicente,,COL,-74.7667,2.15,5,327
,SVJ,Helle,Svolvaer,,NOR,14.55,68.2333,-1,465
,SVK,Silver Creek,Silver Creek,,BLZ,-88.3333,16.7333,6,106
,SVL,Savonlinna,Savonlinna,,FIN,28.9,61.9167,2,425
,SVN,Hunter AAF,Savannah,31409,USA,-81.1456,32.01,-5,67
,SVO,Sheremetyevo,Moscow,,RUS,37.4147,55.9728,3,770
,SVP,Kuito (Silva Porto),Kuito,,AGO,16.9475,-12.4047,-1,502
,SVQ,San Pablo,Sevilla,,ESP,-5.9,37.4333,-1,482
,SVR,Svay Rieng,Svay Rieng,,KHM,105.8056,11.0833,-7,709
,SVS,Stevens Village,Stevens Village,99774,USA,-149.1,66.0333,9,67
,SVT,Savuti,Savuti,,BWA,24.0667,-18.6167,,510
,SVU,Savusavu,Savusavu,,FJI,179.3833,-16.7667,-12,821
,SVV,San Salvador De,San Salvador De,,VEN,-62,7,4,388
,SVW,Sparrevohn AFS,Sparrevohn,,USA,-155.5667,61.0833,9,67
,SVX,Koltsovo International Airport,Ekaterinburg,,RUS,60.8028,56.7431,5,770
,SVY,Savo,Savo,,SLB,159.8333,-9.1667,-11,874
,SVZ,San Antonio,San Antonio,,VEN,-72.45,7.7833,4,388
,SWA,Shantou,Shantou,,CHN,116.6833,23.3833,-8,713
,SWB,Shaw River,Shaw River,,AUS,119.3667,-21.5167,-8,802
,SWC,Stawell,Stawell,,AUS,142.7667,-37.0667,-10,802
,SWD,Seward,Seward,99664,USA,-149.4167,60.1333,9,67
,SWE,Siwea,Siwea,,PNG,147.55,-6.2833,-10,804
,SWF,Stewart,Newburgh,12553,USA,-74.0167,41.5,5,67
,SWG,Satwag,Satwag,,PNG,147.95,-5.8833,-10,804
,SWH,Swan Hill,Swan Hill,,AUS,143.55,-35.3833,-10,802
,SWI,Gypsy,Swindon,,GBR,-1.7833,51.5667,,493
,SWJ,South West Bay,South West Bay,,VUT,167.4389,-16.4917,-11,885
,SWK,Segrate,Milan,,ITA,9.5,45.5,,450
,SWL,Spanish Wells,Spanish Wells,,BHS,-77.1833,18.4333,,204
,SWM,Suia-Missu,Suia-Missu,,BRA,-51.4208,-11.6667,4,316
,SWN,Sahiwal,Sahiwal,,PAK,72.3167,31.8833,5,764
,SWO,Searcy Fld,Stillwater,,USA,-97.0833,36.1667,6,67
,SWP,Swakopmund,Swakopmund,,NAM,14.5667,-22.6667,-2,575
,SWQ,Brang Bidji,Sumbawa,,IDN,117.4167,-8.5,-8,832
,SWR,Silur,Silur,,PNG,153.05,4.5333,,804
,SWS,Fairwood Comm,Swansea,,GBR,-4.0667,51.6,,493
,SWU,Suwon,Suwon,,KOR,127.0014,37.2339,-9,778
,SWV,Shikarpur,Shikarpur,,PAK,70.4333,29.1667,,764
