,Iata_Code,Icao_Code,Call_Sign,Name,Country_Code
80,O4,ABV,ANTRAK,Antrak Air,31
81,GB,ABX,ABEX,Airborne Express,191
82,GB,ABX,ABEX,ABX Air,81
83,8V,ACP,ASTRAL CARGO,Astral Aviation,51
84,F5,ACY,ATLAS CARGOLINES,Atlas Cargo Lines,191
85,7A,NXA,BLUE-DOLPHIN,Aztec Worldwide Airlines,101
86,8T,TID,,Air Tindi,151
87,ZY,ADE,ADA AIR,Ada Air,81
88,Z7,ADK,ADCO,ADC Airlines,191
89,JP,ADR,ADRIA,Adria Airways,61
90,EM,AEB,AEROBEN,Aero Benin,11
91,A3,AEE,AEGEAN,Aegean Airlines,161
92,2K,GLG,AEROGAL,Aerogal,151
93,KO,AER,ACE AIR,Alaska Central Express,31
94,VX,AES,ACES,ACES Colombia,131
95,AQ,AAH,ALOHA,Aloha Airlines,41
96,AA,AAL,AMERICAN,American Airlines,211
97,AN,AAA,ANSETT,Ansett Australia,81
98,5W,AEU,FLYSTAR,Astraeus,201
99,VV,AEW,AEROSVIT,Aerosvit Airlines,171
100,WK,AFB,AMERICAN FALCON,American Falcon,51
101,QQ,UTY,UNITY,Alliance Airlines,171
102,FG,AFG,ARIANA,Ariana Afghan Airlines,1
103,3A,AFJ,JAMBO,Alliance,101
104,SU,AFL,AEROFLOT,Aeroflot Russian Airlines,101
105,VC,AGC,AGRICO,Arab Agricultural Aviation Company,41
106,5D,SLI,COSTERA,Aerolitoral,71
107,1A,AGT,AMADEUS,Amadeus Global Travel Distribution,1
108,IK,AGU,SARMA,Angara Airlines,151
109,JJ,AGX,GENEX,Aviogenex,181
110,PL,PLI,Aeroperu,Aeroper̼,171
111,8A,BMM,ATLAS BLUE,Atlas Blue,201
112,GD,AHA,AIR ALPHA,Air Alpha Greenland,201
113,HT,AHW,AEROMIST,Aeromist-Kharkiv,21
114,J2,AHY,AZAL,Azerbaijan Airlines,201
115,U3,AIA,AVIES,Avies,11
116,AP,AIB,AIRBUS INDUSTRIE,Airbus Industrie,211
117,4O,AIJ,ABC AEROLINEAS,ABC Aerolineas,101
118,5A,AIP,ALPINE AIR,Alpine Air Express,21
119,ED,ABQ,PAKBLUE,Airblue,141
120,W4,BES,BIRD EXPRESS,Aero Services Executive,201
121,UZ,AIW,TARTAN,Atlantic Island Airways,151
122,IZ,AIZ,ARKIA,Arkia Israel Airlines,61
123,M6,AJT,AMERIJET,Amerijet International,21
124,6L,AKK,AKLAK,Aklak Air,1
125,4A,AKL,,Air Kiribati,41
126,HP,AWE,CACTUS,America West Airlines,11
127,VH,ALV,ALVEN,Alas de Venezuela,51
128,TZ,AMT,AMTRAN,ATA Airlines,211
